layer,identity_similarity
0,0.7482219934463501
1,0.025845572352409363
2,0.01745522767305374
3,0.0026374831795692444
4,-0.004253384657204151
5,-0.006973001174628735
6,-0.0100170336663723
7,-0.011959627270698547
8,-0.011104700155556202
9,-0.013535315170884132
10,-0.012626860290765762
11,-0.008688909932971
12,-0.0072892941534519196
13,-0.006993778049945831
14,-0.01058801356703043
15,-0.008761891163885593
16,-0.002635238692164421
17,-0.005653637461364269
18,-0.004703698679804802
19,-0.0020548682659864426
20,-0.000829366035759449
21,-0.0021023713052272797
22,-0.019513005390763283
23,-0.04467926174402237
24,-0.09920145571231842
