layer,context_similarity
0,0.8947690725326538
1,0.9688003063201904
2,0.9574533700942993
3,0.9329766631126404
4,0.9176813960075378
5,0.895331859588623
6,0.8859165906906128
7,0.8765463829040527
8,0.8786935210227966
9,0.872730016708374
10,0.8699202537536621
11,0.8537232875823975
12,0.8433564305305481
13,0.8337386846542358
14,0.8237023949623108
15,0.812279224395752
16,0.8016122579574585
17,0.8042047619819641
18,0.8054384589195251
19,0.8030855059623718
20,0.807900071144104
21,0.8178302049636841
22,0.8546550869941711
23,0.9104856252670288
24,0.9789732694625854
